v,J_theta,T_s,T_p,J_TIR_s,J_TIR_p
0.04409115386280755,34.83692000393918,0.16793313942147933,0.3765526737717613,5.85027334403644,13.117935373456255
0.039277357297223786,39.10650068375573,0.15104327378386403,0.34328207296398383,5.906773889505383,13.42456062108712
0.03498912278535556,43.8993572208927,0.1357149255003206,0.31223360530211747,5.957797994745414,13.706854575524872
0.03116907036347938,49.279621820217095,0.1218314999343298,0.28340102099537334,6.003810242553577,13.965895138115403
0.027766084713908484,55.319286670280626,0.1092792354399383,0.25674388991412617,6.0452493524110364,14.202888847002516
0.02473463120168213,62.09916725564687,0.09794860176481973,0.23219515206239943,6.0825266034502885,14.419125583873301
0.022034146585195914,69.70998373188607,0.08773528286675736,0.20966781743409768,6.116025141354078,14.615940142431008
0.01962849624800077,78.25357483288853,0.07854082053639819,0.18906076165228414,6.146099977281504,14.794680459919919
0.01748549068910331,87.84426055353494,0.07027298625624485,0.17026362298164233,6.1730785145685525,14.956682059988228
0.015576454802025866,98.61037184149431,0.06284593952504108,0.15316084726545004,6.197261465292366,15.103248100404345
0.01387584417924031,110.69596776663248,0.05618022199375317,0.1376349531905917,6.218924042942758,15.23563434194771
0.012360903307825582,124.26276314511512,0.05020262853541233,0.12356910426653735,6.23831733895814,15.355038335526764
0.011011361082737278,139.4922924113366,0.04484598898953429,0.11084907903290826,6.255669809603699,15.4625921459858
0.009809159563416273,156.58833869199,0.04004888785480532,0.09936472989541678,6.271188815645781,15.559357978901627
0.008738212344285599,175.77966058520835,0.03575534364873416,0.0890110157664098,6.285062170681975,15.646326139764144
0.007784189305942152,197.32305313123317,0.031914464960546694,0.07968868601722454,6.297459665064834,15.724414824934955
0.006934324866844159,221.5067839328157,0.028480096317489205,0.07130468437281608,6.308534541383861,15.79447131476699
0.0061772471697505,248.65445040335652,0.02541046377603461,0.06377233217251463,6.318424904724285,15.857274207296916
0.00550282591729173,279.12930975580593,0.022667827546328196,0.05701134147287252,6.327255056670233,15.913536393575459
0.004902036820592469,313.33913967099835,0.020218146871666877,0.050947700145143986,6.335136746509986,15.963908531695415
0.004366840847160741,351.741694685,0.018030760732619958,0.0455134636221494,6.342170336551496,16.008982825438927
0.0038900766522856935,394.85083130623974,0.016078086653779845,0.040646481361504026,6.34844588105873,16.049296955263443
0.003465364754590801,443.2433838213302,0.014335338895433987,0.03629008041996025,6.354044120237691,16.08533804449138
0.0030870221735358806,497.5668827932853,0.012780266557080072,0.0323927237323108,6.359037392073604,16.11754657266996
0.0027499863866502225,558.5482195317383,0.011392911557569425,0.02890765668424775,6.363490465762966,16.146320171821333
0.002449747588984606,627.0033724726129,0.010155386048372793,0.02579255227392516,6.367461301091063,16.172017260427236
0.0021822883483601802,703.8483256138835,0.009051668529434754,0.02300916247978772,6.3710017384545345,16.194960485176377
0.0019440298489537692,790.1113251047246,0.008067417744629211,0.020522981302965718,6.374158124382355,16.215439952385733
0.0017317840039163608,886.9466379908795,0.007189803314280777,0.018302923247932,6.376971877417017,16.233716240158397
0.0015427107962537783,995.6499972191326,0.006407351998130675,0.016321019670213956,6.37947999912081,16.250023189261935
0.0013742802771568436,1117.6759395672386,0.005709808459571716,0.014552134388905787,6.381715534800785,16.264570475829
0.0012242387132886878,1254.657268494495,0.005088009409920202,0.012973699177778578,6.383707988324768,16.277545972660945
0.0010905784300531672,1408.4269023412817,0.004533770041266202,0.01156546916377301,6.385483695148261,16.289117908456433
0.0009715109473235286,1581.0424002237082,0.004039781701299429,0.010309297735237435,6.387066157402265,16.299436835940636
0.0008654430481661432,1774.813493799221,0.003599519818243312,0.009188930261021392,6.38847634461595,16.308637420840764
0.0007709554603399424,1992.3329932999266,0.0032071611446787517,0.008189815718043572,6.389732963373036,16.316840064104536
0.00068678386531319,2236.5114813807504,0.0028575094526173146,0.007298935196945313,6.3908526989326475,16.32415236982226
