d_nm,condition_number
610.4046727516443,11.628665233344087
611.8220456865834,11.704481604592008
613.2394186215223,11.78250343333553
614.6567915564613,11.857640860916796
616.0741644914003,11.925882951112358
617.4915374263394,11.98414203288926
618.9089103612783,12.03012775735883
620.3262832962173,12.062245882274024
621.7436562311564,12.079516897142653
623.1610291660954,12.081510124355894
624.5784021010345,12.068289595904057
625.9957750359735,12.040368651972397
627.4131479709124,11.998670758504689
628.8305209058515,11.94449446299718
630.2478938407905,11.879480690456395
631.6652667757295,11.805580722551365
633.0826397106684,11.725023205152967
634.5000126456075,11.640278402254284
635.9173855805466,11.554017680006192
637.3347585154855,11.469065905050114
638.7521314504246,11.388344143607112
640.1695043853636,11.3147998492091
641.5868773203026,11.251321759819954
643.0042502552417,11.200637160717797
644.4216231901806,11.165190215407163
645.8389961251196,11.147001943698564
647.2563690600587,11.14751531076169
648.6737419949977,11.16743282500566
650.0911149299367,11.20655883041353
651.5084878648756,11.263663811618311
652.9258607998147,11.336392651877166
654.3432337347538,11.421241679590365
655.7606066696928,11.513628929855447
657.1779796046318,11.60807650631851
658.5953525395707,11.698511664997131
660.0127254745098,11.77867397359699
661.4300984094489,11.842592066090832
662.8474713443878,11.885071059106544
664.2648442793268,11.902118940549247
665.6822172142658,11.891244374061879
667.0995901492049,11.851581108251764
668.5169630841439,11.783829579353991
669.9343360190828,11.69004279027127
671.3517089540219,11.573309472533023
672.769081888961,11.437396508164722
674.1864548239,11.286405475116402
675.603827758839,11.124481102315835
677.0212006937779,10.955589859518144
678.438573628717,10.783370514097816
679.8559465636561,10.61104785556219
681.273319498595,10.441395912481179
682.690692433534,10.276736431552695
684.108065368473,10.118960366352578
685.5254383034121,9.969563122750477
686.942811238351,9.829687305355758
688.3601841732901,9.7001691254931
689.7775571082291,9.581586196333044
691.1949300431681,9.474305070882362
692.6123029781072,9.378526614558973
694.0296759130462,9.294326336820205
695.4470488479851,9.221685587071695
696.8644217829242,9.16050890282354
698.2817947178632,9.1106240278855
699.6991676528022,9.07176532685646
701.1165405877412,9.043548327699984
702.5339135226802,9.0254502071555
703.9512864576193,9.016813508710834
705.3686593925584,9.016885062582364
706.7860323274973,9.024891025896729
708.2034052624363,9.040138762124752
709.6207781973753,9.0621325959444
711.0381511323144,9.090693815643577
712.4555240672534,9.126082089917741
713.8728970021923,9.169121998285746
715.2902699371314,9.221343082051579
716.7076428720704,9.285145054790299
718.1250158070094,9.364002584890066
719.5423887419483,9.462727104394947
720.9597616768874,9.587806271674825
722.3771346118265,9.747843244783942
723.7945075467655,9.95411241811183
725.2118804817045,10.221221678941383
726.6292534166435,10.567788582395446
728.0466263515825,11.016815258546396
729.4639992865216,11.59489488082569
730.8813722214605,12.328128283039925
732.2987451563995,13.23020840577845
733.7161180913386,14.275272464348975
735.1334910262776,15.352143152782359
736.5508639612166,16.2290851244149
737.9682368961556,16.619825173917665
739.3856098310946,16.390012120088993
740.8029827660337,15.686435000736099
742.2203557009727,14.798086698799256
743.6377286359117,13.954927564014596
745.0551015708506,13.268271913706606
746.4724745057897,12.766269771031443
747.8898474407288,12.437790851110293
749.3072203756677,12.25831854945141
750.7245933106067,12.201425640338712
752.1419662455457,12.2428677781784
753.5593391804848,12.361586948117516
754.9767121154239,12.539619158057898
756.3940850503628,12.761704966388555
757.8114579853018,13.014880065070262
759.2288309202409,13.288122488137772
760.6462038551799,13.572065735026557
762.0635767901189,13.85876869091142
763.4809497250578,14.141530321585678
764.8983226599969,14.414738387014669
766.315695594936,14.673743589616391
767.7330685298749,14.914752799041137
769.1504414648139,15.134737003307801
770.5678143997529,15.33135129613157
771.985187334692,15.50286546942847
773.4025602696311,15.648104653679916
774.81993320457,15.766400000999722
776.237306139509,15.857549722981515
777.654679074448,15.92179096479458
779.0720520093871,15.959783091488543
780.4894249443261,15.972603033333813
781.906797879265,15.961753410678277
783.3241708142041,15.929184234641516
784.7415437491431,15.87732902581889
786.1589166840821,15.809156134168942
787.5762896190212,15.72823573838569
788.9936625539601,15.638822199341933
790.4110354888992,15.545949689449978
791.8284084238383,15.45553551592459
793.2457813587772,15.37447887388338
794.6631542937162,15.31073039095413
796.0805272286552,15.273285436365521
797.4979001635943,15.272014702610218
798.9152730985332,15.317178686061576
800.3326460334722,15.41836711453159
801.7500189684113,15.582460903229245
803.1673919033503,15.810089118592492
804.5847648382894,16.090165713741033
806.0021377732284,16.39299059670175
807.4195107081673,16.664914183931852
808.8368836431064,16.831525057241254
810.2542565780454,16.817331374034055
811.6716295129844,16.57946531814004
813.0890024479235,16.13349610322782
814.5063753828624,15.547357131893772
815.9237483178015,14.907932791080398
817.3411212527404,14.288256385390682
818.7584941876795,13.73351519134202
820.1758671226185,13.263318639236388
821.5932400575575,12.88018967312196
823.0106129924965,12.57758789371614
824.4279859274355,12.34536244606532
825.8453588623745,12.172845995311269
827.2627317973136,12.050377548156531
828.6801047322526,11.96993085279209
830.0974776671916,11.925275238850253
831.5148506021307,11.911874288506528
832.9322235370696,11.92654817397629
834.3495964720087,11.966793683011979
835.7669694069476,12.029682077726932
837.1843423418867,12.110627329858588
838.6017152768256,12.20282984025372
840.0190882117647,12.297970992019003
841.4364611467037,12.387645374223549
842.8538340816427,12.464510502900001
844.2712070165817,12.522731816446363
845.6885799515208,12.557940184412995
847.1059528864598,12.567036373311463
848.5233258213988,12.548041302278516
849.9406987563378,12.500069606607644
851.3580716912768,12.423444487267938
852.7754446262159,12.319932799466027
854.1928175611548,12.193004142140532
855.6101904960939,12.047861745945786
857.0275634310328,11.890832173175223
858.4449363659719,11.72791089345038
859.8623093009109,11.563142565249288
861.2796822358499,11.398127873996293
862.697055170789,11.233010796972962
864.1144281057279,11.067998182626143
