eta,theta_i_deg,cos_i,J_perp,J_parallel,det
0.67,35.78361308776025,0.8112310869697749,0.67,0.59074624677304,0.3957999853379368
0.67,36.08431523727269,0.8081511465667404,0.67,0.5892832096028915,0.3948197504339373
0.67,36.38501738678514,0.8050489464590935,0.67,0.5878037151355718,0.3938284891408331
0.67,36.68571953629758,0.8019245720937936,0.67,0.586307660438732,0.3928261324939505
0.67,36.98642168581002,0.7987781095285673,0.67,0.584794941993957,0.3918126111359513
0.67,37.28712383532247,0.7956096454295384,0.67,0.5832654557141207,0.39078785532846094
0.67,37.58782598483491,0.7924192670688406,0.67,0.581719096961388,0.38975179496413
0.67,37.888528134347354,0.7892070623222136,0.67,0.5801557605658816,0.38870435957914073
0.67,38.18923028385979,0.785973119666583,0.67,0.5785753408450264,0.3876454783661677
0.67,38.48993243337224,0.7827175281776231,0.67,0.5769777316235876,0.3865750801878037
0.67,38.790634582884685,0.7794403775273032,0.67,0.575362826254418,0.3854930935904602
0.67,39.091336732397124,0.7761417579814182,0.67,0.5737305176399297,0.3843994468187529
0.67,39.39203888190957,0.7728217603971013,0.67,0.5720806982543032,0.3832940678303832
0.67,39.69274103142201,0.7694804762203228,0.67,0.5704132601664557,0.38217688431152536
0.67,39.993443180934456,0.7661179974833704,0.67,0.5687280950637751,0.3810478236927293
0.67,40.294145330446895,0.7627344168023144,0.67,0.5670250942766435,0.37990681316535113
0.67,40.59484747995934,0.7593298273744568,0.67,0.5653041488037605,0.37875377969851953
0.67,40.89554962947179,0.7559043229757643,0.67,0.5635651493382832,0.37758865005664977
0.67,41.19625177898423,0.7524579979582853,0.67,0.5618079862948001,0.3764113508175162
0.67,41.49695392849667,0.7489909472475509,0.67,0.5600325498371516,0.37522180839089153
0.67,41.79765607800911,0.7455032663399607,0.67,0.558238729907113,0.37401994903776575
0.67,42.09835822752156,0.7419950513001518,0.67,0.5564264162539584,0.3728056988901522
0.67,42.399060377034,0.7384663987583536,0.67,0.5545954984649162,0.37157898397149386
0.67,42.699762526546444,0.7349174059077254,0.67,0.5527458659965333,0.3703397302176773
0.67,43.00046467605889,0.7313481705016799,0.67,0.5508774082069646,0.36908786349866635
0.67,43.30116682557133,0.7277587908511906,0.67,0.5489900143891997,0.3678233096407638
0.67,43.601868975083775,0.7241493658220834,0.67,0.5470835738052418,0.366545994449512
